College Code,College Name,Seat Type,AD-Artificial Intelligence & Data Science,"AE-Aeronautical Engineering","AG-Agriculture Engineering",AI-Artificial Intelligence & Machine Learning,,"AL-Agricultural Engineering",,,"AR-Automation & Robotics Engineering",,,AS-Aerospace Engineering,,,
E173,"Presidency University-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E183,"Jain Institute of Technology-Avaragere Village, Davangere",GM,,,,,,,,,,,,,,,
E186,"Nitte School of Architecture Planning and Design-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,,,,,,,,,,,,,,,
E194,"Jain College of Engineering and Technology-Unkal, Hubballi",GM,,,,,,,,,,,,,,,
E195,"Navkis College of Engineering -Kandali NH75, Hassan",GM,,,,,,,,,,,,,,,
E197,"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E198,"R V Institute of Technology and Management-J P Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E199,"Biluru Gurubasava Mahaswamiji Institute of Technology-Mudhol, Bagalkot",GM,,,,,,,,,,,,,,,
E201,"G Madegowda Institute of Technology-Maddur, Mandya District",GM,,,,,,,,,,,,,,,
E202,"C Byregowda Insitute of Technology-Thoradevandahalli, Kolar",GM,,,,,,,,,,,,,,,
E203,"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk,
Bengaluru Rural",GM,,,,,,,,,,,,,,,
E204,"H.K.E. Societys Sir M. Visvesvaraya College of Engineering-Yermarus Camp, Raichur",GM,,,,,,,,,,,,,,,
E205,"Vijaya Vittala Institution of Technology-Kothanur, Bengaluru",GM,,,,,,,,,,,,,,,
E206,"Cauvery Institute Of Technology-Sundahalli, Mandya",GM,,,,,,,,,,,,,,,
E207,"BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru",GM,,,,,,,,,,,,,,,
E208,"A.G.M Rural College of Engineering and Technology-Varur, Hubballi",GM,,,,,,,,,,,,,,,
E209,"Aditya College of Engineering and Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E210,"Impact College Of Engineering and Applied Science-Sahakar Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E211,"East West College of Engineering-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E212,"Seshadripuram Institute of Technology - Jaipura Hobli, Mysur",GM,,,,,,,,,,,,,,,
College Code,College Name,Seat Type,IS-Information Science & Engineering,"IST-Information Science & Technology","MAE-Mechanical & Aerospace Engineering",,MD-Medical Electronics Engineering,,"ME-Mechanical Engineering",,MR-Marine Engineering,,,MT-Mecha- tronics Engineering,,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,61684,,,,,,,,,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,,,,,,,,,,,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagalur",GM,,,,,,,,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,39973,,,,,,,,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,,,,,,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,83039,,,,,,,,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,,,,,,,,,,,,,,,
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,,,,,,,,,,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,40347,,,,,,,,,,,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,,,,,,,89867,,,,,,,,
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",GM,,,,,,,,,,,,,,,
E018,"Bangalore College of Engineering and Technology-Chandapura, Bengalur",GM,,,,,,,,,,,,,,,
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,18608,,,,,,84619,,,,,,,,
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,,,,,,,,,,,,,,,
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,101492,,,,,,,,,,,,,,
E023,"Basavakalyan Engineering College-NH9 Basavakalyan, Bida",GM,,,,,,,,,,,,,,,
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,86439,,,,,,,,,,,,,,
E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road,
Vijayapura",GM,,,,,,,,,,,,,,,
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,,,,,,,25036,,,,,,,,
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,,,,,,,93438,,,,,,,,
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,54242,,,,,,,,,,,,,,
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,89496,,,,,,,,,,,,,,
E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,89505,,,,,,,,,,,,,,
E036,"Chanakya University-Devanahalli, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E037,"City Engineering College-Doddakalasandra, Bengaluru",GM,,,,,,,,,,,,,,,
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,,,,,,,,,,,,,,,
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,97796,,,,,,,,,,,,,,
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,8418,,,,63118,,99998,,,,,,,,
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,,,,,,,,,,,,,,,
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,96203,,,,,,,,,,,,,,
E043,"Yenepoya Institute of Technology formerly known as Dr. M V Shetty Institute of
Technology-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E044,"Dr.Shri Shri Shivakumara Mahaswamy College of Engineering-Nelamangala, Bengaluru
Rural",GM,,,,,,,,,,,,,,,
E045,"Dr H N National College Of Engineering-Jayanagar, Bengaluru",GM,,,,,,,,,,,,,,,
E046,"East Point College of Engineering and Technology-Avalahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,,,,,,,,,,,,,,,
E049,"Garden City University-Old Madras Road, Bengalur",GM,,,,,,,,,,,,,,,
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,85615,,,,,,,,,,,,,,
E051,"GM Institute of Technology-P B Road, Davangere",GM,,,,,,,,,,,,,,,
E053,"Gopalan College of Engineering And Management-Whitefield, Bengaluru",GM,,,,,,,,,,,,,,,
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysur",GM,69773,,,,,,,,,,,,,,
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",GM,,,,,,,,,,,,,,,
E058,"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and
Technology University-Manasagangothri, Mysuru",GM,,,,,,,,,,,,,,,
E059,"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",GM,92250,,,,,,,,,,,,,,
E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",GM,100258,,,,,,,,,,,,,,
E061,JSS Science and Technology University-Mysuru,GM,,,,,,,77186,,,,,,,,
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,,,,,,,,,,,,,,,
E063,"Jnana Vikas Institute of Technology-Bidadi, Ramnagar Taluk, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E064,"Jain College of Engineering and Research-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E065,"KLE Technological University Formerly called as KLE Dr. M.S. Sheshgiri College of
Engineering and Technology-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,,,,,,,,,,,,,,,
E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengalur",GM,,,,,,,,,,,,,,,
E069,"KVG College Of Engineering-Sullia, Dakshina Kannada",GM,,,,,,,,,,,,,,,
E070,"Kalpataru Institute of Technology-B H Road, Tiptur",GM,,,,,,,,,,,,,,,
E071,"Karavali Institute of Technology-Kottara, Mangaluru",GM,,,,,,,,,,,,,,,
E072,"K L E Institute of Technology-Gokul, Hubbali",GM,,,,,,,,,,,,,,,
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,67705,,,,,,,,,,,,,,
E074,"KLS Vishwanathrao Deshpande Institute of Technology-Dandeli Road, Haliyal",GM,,,,,,,,,,,,,,,
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E076,"M.S. Engineering College-Sadahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,3115,,,,92776,,28132,,,,,,,,
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,98310,,,,,,,,,,,,,,
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,,,,,,,,,,,,,,,
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangalur",GM,,,,,,,,,,,,,,,
E081,"Moodalakatte Institute of Technology-Moodalakatte, Udupi",GM,,,,,,,,,,,,,,,
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,,,,,,,,,,,,,,,
E083,"Mysuru Royal Institute of Technology-Palahallli, Mandya District",GM,,,,,,,,,,,,,,,
E084,"Nagarjuna College of Engineering And Technology-Devanahalli, Bengalur",GM,,,,,,,,,,,,,,,
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",GM,18058,,,,,,,,,,,,,,
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,25502,,,,,,77414,,,,,,,,
E088,"Navodaya Institute of Technology-Bijangera, Raichur",GM,,,,,,,,,,,,,,,
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,83532,,,,,,,,,,,,,,
E090,"PES Institute of Technology and Management-Kotegangoor Cost, Shivamogga",GM,,,,,,,,,,,,,,,
E094,"Proudhadevaraya Institute of Technology-TB Dam Road, Hosapete",GM,,,,,,,,,,,,,,,
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,802,,,,,,10449,,,,,,,,
E096,"R.L. Jalappa Institute of Technology-Kodigehalli, Doddaballapu",GM,,,,,,,,,,,,,,,
E097,"R.R. Institute of Technology-Chikkabanavara, Bengaluru",GM,,,,,,,,,,,,,,,
E098,"R T E Societys Rural Engineering College-Hulkoti, Gadag",GM,,,,,,,,,,,,,,,
E099,"Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru",GM,,,,,,,,,,,,,,,
E100,"Rajeev Institute of Technology-BM Bypass Road, Hassan",GM,,,,,,,,,,,,,,,
E101,"Rajiv Gandhi Institute of Technology-R T Nagar Post, Bengaluru",GM,,,,,,,,,,,,,,,
E102,"Rao Bahadur Y Mahabaleswarappa Engineering College-Cantonment, Ballari",GM,,,,,,,,,,,,,,,
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,,,,,,,,,,,,,,,
E105,"Bheemanna Khandre Institute of Technology-Bhalki, Bida",GM,,,,,,,,,,,,,,,
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,62793,,,,,,,,,,,,,,
E108,"S J C Institute of Technology-BB Road, Chikkaballapur",GM,,,,,,,,,,,,,,,
E109,"S.E.A. College of Engineering and Technology-K R Puram, Bengaluru",GM,,,,,,,,,,,,,,,
E110,"SSETs S.G. Balekundri Institute of Technology-Shivabasva Nagar, Belagavi",GM,,,,,,,,,,,,,,,
E112,"Sahyadri College of Engineering and Management-Adyar, Mangaluru",GM,,,,,,,,,,,,,,,
E113,"Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru",GM,,,,,,,,,,,,,,,
E114,"Sambhram Institute of Technology-Jalahalli East, Bengaluru",GM,,,,,,,,,,,,,,,
E116,"Sapthagiri NPS University-Hesarghatta Main Road, Bengalur",GM,,,,,,,,,,,,,,,
E117,"SDM College of Engineering and Technology, Tulu Minority-Kalaghatagi, Dharwad",GM,93687,,,,,,,,,,,,,,
E118,"SDM Institute of Technology, Tulu Minority-Ujjire, Dakshina Kannada",GM,,,,,,,,,,,,,,,
E119,"SECAB Institute of Engineering andTechnology-Nauraspur-Bagalkot Road, Vijayapura",GM,,,,,,,,,,,,,,,
E121,"Sri Sairam College of Engineering-Anekal, Bengaluru",GM,,,,,,,,,,,,,,,
E122,"Shree Devi Institute of Technology-Kenjar, Mangaluru",GM,,,,,,,,,,,,,,,
E123,"Shri Madhwa Vadiraja Institute of Technology and Management-Bantakal, Udupi",GM,,,,,,,,,,,,,,,
E124,"Shridevi Institute of Engineering and Technology-Sira Road, Tumakuru",GM,,,,,,,,,,,,,,,
E125,"Siddaganga Institute of Technology-B H Road, Tumakuru",GM,20586,,,,,,,,,,,,,,
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,33556,,,,,,,,,,,,,,
E127,"SJM Institute of Technology-NH 4 Bye-pass, Chitradurga",GM,,,,,,,,,,,,,,,
E128,"Smt. Kamala and Sri Venkappa M. Agadi College of Engineering and Technology
Laxmeswar  Gadag",GM,,,,,,,,,,,,,,,
E132,"Sri Krishna Institute of Technology-Chikkabanavara, Bengalur",GM,,,,,,,,,,,,,,,
E136,"Sri Taralabalu Jagadguru Institute of Technology-Haveri Dist., Ranebennu",GM,,,,,,,,,,,,,,,
E137,"Sri Venkateshwara College of Engineering-KIAL Road, Bengaluru",GM,,,,,,,,,,,,,,,
E138,"Srinivas Institute of Technology-Hampankatta, Mangaluru",GM,,,,,,,,,,,,,,,
E141,"T. John Institute of Technology-Bannerghatta Road, Bengalur",GM,,,,,,,,,,,,,,,
E142,"The National Institute of Engineering South Campus-Mananthavady Road, Mysuru",GM,,,,,,,95259,,,,,,,,
E143,"Tontadarya College of Engineering-Mundaragi Road , Gadag",GM,,,,,,,,,,,,,,,
E144,"Veerappa Nisty Engineering College-Shorapur, Yadgir",GM,,,,,,,,,,,,,,,
E145,"Vemana Institute of Technology-Koramangala, Bengalur",GM,,,,,,,91553,,,,,,,,
E146,"Vidya Vikas Institute of Engineering and Technology-Alnahally, Mysuru",GM,,,,,,,,,,,,,,,
E147,"Vidyavardhaka College of Engineering-Gokulam, Mysuru",GM,94717,,,,,,,,,,,,,,
E148,"Vivekananda College of Engineering and Technology-Puttur, Dakshin Kannada",GM,,,,,,,,,,,,,,,
E149,"Vivekananda Institute of Technology-Kengeri, Bengaluru",GM,,,,,,,,,,,,,,,
E152,"ATME College of Engineering-Bannur Road, Mysuru",GM,,,,,,,,,,,,,,,
E156,"Jyothy Institute of Technology-Tathguni, Bengaluru",GM,,,,,,,,,,,,,,,
E158,"Shetty Institute of Technology - Gulbarga Shahabad Road, Kalaburagi",GM,,,,,,,,,,,,,,,
E159,"Lingaraj Appa Engineering-Gornalli, Bida",GM,,,,,,,,,,,,,,,
E161,"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",GM,,,,,,,,,,,,,,,
E164,"Reva University-Yelahanka, Bengaluru",GM,,,,,,,,,,,,65537,,,
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,,,,,,,,,,,,,,,
E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,,,,,,,,,,,,,,,
E172,"Mysore College of Engineering and Management-Chikkahalli, Mysuru",GM,,,,,,,,,,,,,,,
E173,"Presidency University-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E183,"Jain Institute of Technology-Avaragere Village, Davangere",GM,,,,,,,,,,,,,,,
E186,"Nitte School of Architecture Planning and Design-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,,,,,,,,,,,,,,,
E194,"Jain College of Engineering and Technology-Unkal, Hubballi",GM,,,,,,,,,,,,,,,
E195,"Navkis College of Engineering -Kandali NH75, Hassan",GM,,,,,,,,,,,,,,,
E197,"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E198,"R V Institute of Technology and Management-J P Nagar, Bengaluru",GM,19948,,,,,,,,,,,,,,
E199,"Biluru Gurubasava Mahaswamiji Institute of Technology-Mudhol, Bagalkot",GM,,,,,,,,,,,,,,,
E201,"G Madegowda Institute of Technology-Maddur, Mandya District",GM,,,,,,,,,,,,,,,
E202,"C Byregowda Insitute of Technology-Thoradevandahalli, Kolar",GM,,,,,,,,,,,,,,,
E203,"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk,
Bengaluru Rural",GM,,,,,,,,,,,,,,,
E204,"H.K.E. Societys Sir M. Visvesvaraya College of Engineering-Yermarus Camp, Raichur",GM,,,,,,,,,,,,,,,
E205,"Vijaya Vittala Institution of Technology-Kothanur, Bengaluru",GM,,,,,,,,,,,,,,,
E206,"Cauvery Institute Of Technology-Sundahalli, Mandya",GM,,,,,,,,,,,,,,,
E207,"BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru",GM,,,,,,,,,,,,,,,
E208,"A.G.M Rural College of Engineering and Technology-Varur, Hubballi",GM,,,,,,,,,,,,,,,
E209,"Aditya College of Engineering and Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E210,"Impact College Of Engineering and Applied Science-Sahakar Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E211,"East West College of Engineering-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E212,"Seshadripuram Institute of Technology - Jaipura Hobli, Mysur",GM,,,,,,,,,,,,,,,
College Code,College Name,Seat Type,"PTE-Petroleum Engineering",RA-Robotics & Automation,RI-Robotics & Artificial Intelligence,TX-Textile Technology,,UE-Electronics & Computer Engineering,,VL-Electronics Engineering (VLSI Design & Technology),,,VLS-VLSI,,,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,,,,,,,,,,,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagalur",GM,,,,,,,,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,,,,,,,,,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,,,,,,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,,,,,,,,,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,,,,,,,,,,,,,,,
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,,,,,,,,,,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,,,,,,,,,,,,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,,,,,,,,,,,,,,,
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",GM,,,,,,,,,,,,,,,
E018,"Bangalore College of Engineering and Technology-Chandapura, Bengalur",GM,,,,,,,,,,,,,,,
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,,,23115,,,,,64581,,,,,,,
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,,,,,,,,,,,,,,,
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,,,,,,,,,,,,,,,
E023,"Basavakalyan Engineering College-NH9 Basavakalyan, Bida",GM,,,,,,,,,,,,,,,
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,,,,,,,,,,,,,,,
E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road,
Vijayapura",GM,,,,,,,,,,,,,,,
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,,,,,,,,,,,,,,,
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,,,,,,,,,,,,,,,
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,,,,,,,,,,,,,,,
E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,,,,,,,,,,,,,,,
E036,"Chanakya University-Devanahalli, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E037,"City Engineering College-Doddakalasandra, Bengalur",GM,,,,,,,,,,,,,,,
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,,,,,,,,,,,,,,,
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,,,11500,,,,,,,,,,,,
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,,,,,,,,,,,,,,,
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E043,"Yenepoya Institute of Technology formerly known as Dr. M V Shetty Institute of
Technology-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E044,"Dr.Shri Shri Shivakumara Mahaswamy College of Engineering-Nelamangala, Bengaluru
Rural",GM,,,,,,,,,,,,,,,
E045,"Dr H N National College Of Engineering-Jayanagar, Bengaluru",GM,,,,,,,,,,,,,,,
E046,"East Point College of Engineering and Technology-Avalahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,,,,,,,,,,,,,,,
E049,"Garden City University-Old Madras Road, Bengaluru",GM,,,,,,,,,,,,,,,
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E051,"GM Institute of Technology-P B Road, Davangere",GM,,,,,,,,,,,,,,,
E053,"Gopalan College of Engineering And Management-Whitefield, Bengaluru",GM,,,,,,,,,,,,,,,
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysur",GM,,,,,,,,,,,,,,,
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",GM,,,,,,,,,,,,,,,
E058,"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and
Technology University-Manasagangothri, Mysuru",GM,,,,,,,,,,,,,,,
E059,"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",GM,,,,,,,,,,,,,,,
E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",GM,,,,,,,,,,,,,,,
E061,JSS Science and Technology University-Mysuru,GM,,,,,,,,,,,,,,,
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,,,,,,,,,,,,,,,
E063,"Jnana Vikas Institute of Technology-Bidadi, Ramnagar Taluk, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E064,"Jain College of Engineering and Research-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E065,"KLE Technological University Formerly called as KLE Dr. M.S. Sheshgiri College of
Engineering and Technology-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,,,,,,,,,,,,,,,
E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengalur",GM,,,,,,,,,,,,,,,
E069,"KVG College Of Engineering-Sullia, Dakshina Kannada",GM,,,,,,,,,,,,,,,
E070,"Kalpataru Institute of Technology-B H Road, Tiptur",GM,,,,,,,,,,,,,,,
E071,"Karavali Institute of Technology-Kottara, Mangaluru",GM,,,,,,,,,,,,,,,
E072,"K L E Institute of Technology-Gokul, Hubbali",GM,,,,,,,,,,,,,,,
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E074,"KLS Vishwanathrao Deshpande Institute of Technology-Dandeli Road, Haliyal",GM,,,,,,,,,,,,,,,
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E076,"M.S. Engineering College-Sadahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,,,,,,,,,,,,,,,
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,,,,,,,,,,,,,,,
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangalur",GM,,,,,,,,,,,,,,,
E081,"Moodalakatte Institute of Technology-Moodalakatte, Udupi",GM,,,,,,,,,,,,,,,
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,,,,,,,,,,,,,,,
E083,"Mysuru Royal Institute of Technology-Palahallli, Mandya District",GM,,,,,,,,,,,,,,,
E084,"Nagarjuna College of Engineering And Technology-Devanahalli, Bengalur",GM,,,,,,,,,,,,,,,
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",GM,,,,,,,,,,,,,,,
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,,,,,,,,74280,,,,,,,
E088,"Navodaya Institute of Technology-Bijangera, Raichur",GM,,,,,,,,,,,,,,,
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,,,,,,,,,,,,,,,
E090,"PES Institute of Technology and Management-Kotegangoor Cost, Shivamogga",GM,,,,,,,,,,,,,,,
E094,"Proudhadevaraya Institute of Technology-TB Dam Road, Hosapete",GM,,,,,,,,,,,,,,,
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,,,,,,,,,,,,,,,
E096,"R.L. Jalappa Institute of Technology-Kodigehalli, Doddaballapu",GM,,,,,,,,,,,,,,,
E097,"R.R. Institute of Technology-Chikkabanavara, Bengaluru",GM,,,,,,,,,,,,,,,
E098,"R T E Societys Rural Engineering College-Hulkoti, Gadag",GM,,,,,,,,,,,,,,,
E099,"Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru",GM,,,,,,,,,,,,,,,
E100,"Rajeev Institute of Technology-BM Bypass Road, Hassan",GM,,,,,,,,,,,,,,,
E101,"Rajiv Gandhi Institute of Technology-R T Nagar Post, Bengaluru",GM,,,,,,,,,,,,,,,
E102,"Rao Bahadur Y Mahabaleswarappa Engineering College-Cantonment, Ballari",GM,,,,,,,,,,,,,,,
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,,,,,,,,,,,,,,,
E105,"Bheemanna Khandre Institute of Technology-Bhalki, Bida",GM,,,,,,,,,,,,,,,
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,,,,,,,,,,,,,,,
