College Code,College Name,Seat Category,AD-Artificial Intelligence & Data Science,"AE-Aeronautical Engineering",,,"AG-Agricultural Engineering",AI-Artificial Intelligence & Machine Learning,,"AL-Agriculture Engineering Course",,"AR-Automation & Robotics Engineering",,AS-Aerospace Engineering,,,
E146,"Vidya Vikas Institute of Engineering and Technology-Alnahally, Mysuru",GM,,,,,,,,,,,,,,,
E147,"Vidyavardhaka College of Engineering-Gokulam, Mysuru",GM,84576,,,,,,,,,,,,,,
E148,"Vivekananda College of Engineering and Technology-Puttur, Dakshin Kannada",GM,,,,,,,,,,,,,,,
E152,"ATME College of Engineering-Bannur Road, Mysuru",GM,,,,,,,,,,,,,,,
E156,"Jyothy Institute of Technology-Tathguni, Bengaluru",GM,,,,,,,,,,,,,,,
E158,"Shetty Institute of Technology - Gulbarga Shahabad Road, Kalaburagi",GM,,,,,,,,,,,,,,,
E159,"Lingaraj Appa Engineering-Gornalli, Bidar",GM,,,,,,,,,,,,,,,
E161,"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",GM,,,,,,,,,,,,,,,
E164,"Reva University-Yelahanka, Bengaluru",GM,,,,,,,,,,42714,,,,,
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,61682,,,,,,,67223,,,,109750,,,
E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,,,,,,,,,,,,,,,
E172,"Mysore College of Engineering and Management-Chikkahalli, Mysuru",GM,,,,,,,,,,,,,,,
E173,"Presidency University-Yelahanka, Bengaluru",GM,97479,,,,,,,,,,,,,,
E183,"Jain Institute of Technology-Avaragere Village, Davangere",GM,,,,,,,,,,,,,,,
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,,,,,,,,,,,,,,,
E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E194,"Jain College of Engineering and Technology-Unkal, Hubballi",GM,,,,,,,,,,,,,,,
E195,"Navkis College of Engineering -Kandali NH75, Hassan",GM,,,,,,,,,,,,,,,
E197,"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E198,"R V Institute of Technology and Management-J P Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E199,"Biluru Gurubasava Mahaswamiji Institute of Technology-Mudhol, Bagalkot",GM,,,,,,,,,,,,,,,
E201,"G Madegowda Institute of Technology-Maddur, Mandya District",GM,,,,,,,,,,,,,,,
E202,"C Byregowda Insitute of Technology-Thoradevandahalli, Kolar",GM,,,,,,,,,,,,,,,
E203,"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk, Bengaluru
Rural",GM,,,,,,,,,,,,,,,
E204,"H.K.E. Societys Sir M. Visvesvaraya College of Engineering-Yermarus Camp, Raichur",GM,,,,,,,,,,,,,,,
E205,"Vijaya Vittala Institution of Technology-Kothanur, Bengaluru",GM,,,,,,,,,,,,,,,
E206,"Cauvery Institute Of Technology-Sundahalli, Mandya",GM,,,,,,,,,,,,,,,
E207,"BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru",GM,,,,,,,,,,,,,,,
E208,"A.G.M Rural College of Engineering and Technology-Varur, Hubballi",GM,,,,,,,,,,,,,,,
E209,"Aditya College of Engineering and Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E211,"East West College of Engineering-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E212,"Seshadripuram Institute of Technology - Jaipura Hobli, Mysuru",GM,,,,,,,,,,,,,,,
E214,"Sri Siddhartha School of Engineering-Near Kyathsandra Toll Gate, Tumkur",GM,,,,,,,,,,,,,,,
E215,"Cauvery College of Engineering-KBL Layout, Mysuru",GM,,,,,,,,,,,,,,,
E216,"New Ebenezer Institute of Technology - Kothanur, Bangalore",GM,,,,,,,,,,,,,,,
E217,"Harsha Institute of Technology-Nelamangala Taluk, Bangalore Rural",GM,,,,,,,,,,,,,,,
College Code,College Name,Seat Category,IM-Industrial Engineering & Management,,"INT-Information Technology",,IP-Industrial & Production Engineering,,"IS-Information Science & Engineering",,"IST-Information Science & Technology",,"MAE-Mechanical & Aerospace Engineering",,MD-Medical Electronics Engineering,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,,,,,,75143,,,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,,,,,,,,,,,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,,,,,,,,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,,,,,,,,,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,,,,,,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,,,,,,,109052,,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,,,,,,,,,,,,,,,
E014,"Anuvartik Mirji Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,,,,,,,,,,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,,,,,,,31447,,,,,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,,,,,,,,,,,,,,,
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",GM,,,,,,,,,,,,,,,
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,,,,,,,15238,,,,,,,,
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,,,,,,,,,,,,,,,
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,,,,,,,106067,,,,,,,,
E023,"Basavakalyan Engineering College-NH9 Basavakalyan, Bidar",GM,,,,,,,,,,,,,,,
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,,,,,,,108363,,,,,,,,
E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road, Vijayapura",GM,,,,,,,,,,,,,,,
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,,,,,,,,,,,,,,,
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,,,,,,,26492,,,,,,,,
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,,,,,,,,,,,,,,,
E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,,,,,,,,,,,,,,,
E036,"Chanakya University-Devanahalli, Bengaluru Rural",GM,,,,,,,,,,,61373,,,,
E037,"City Engineering College-Doddakalasandra, Bengaluru",GM,,,,,,,,,,,,,,,
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,,,,,,,,,,,,,,,
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,,,,,,,44072,,,,,,,,
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,,,,,,,7373,,,,,,50220,,
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,,,,,,,,,,,,,,,
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,,,,,,,60782,,,,,,,,
E043,"Yenepoya Institute of Technology formerly known as Dr. M V Shetty Institute of Technology-
Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E044,"Dr.Shri Shri Shivakumara Mahaswamy College of Engineering-Nelamangala, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E045,"Dr H N National College Of Engineering-Jayanagar, Bengaluru",GM,,,,,,,83887,,,,,,,,
E046,"East Point College of Engineering and Technology-Avalahalli, Bengaluru",GM,,,,,,,108885,,,,,,,,
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,,,,,,,,,,,,,,,
E049,"Garden City University-Old Madras Road, Bengaluru",GM,,,,,,,,,,,,,,,
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,,,,,,,101196,,,,,,,,
E051,"GM Institute of Technology-P B Road, Davangere",GM,,,,,,,,,,,,,,,
E053,"Gopalan College of Engineering And Management-Whitefield, Bengaluru",GM,,,,,,,,,,,,,,,
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",GM,,,,,,,71549,,,,,,,,
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",GM,,,,,,,,,,,,,,,
E058,"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology
University-Manasagangothri, Mysuru",GM,,,,,,,,,,,,,,,
E059,"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",GM,,,,,,,85433,,,,,,,,
E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",GM,,,,,,,44529,,,,,,,,
E061,JSS Science and Technology University-Mysuru,GM,,,,,,,19312,,,,,,,,
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,,,,,,,,,,,,,,,
E063,"Jnana Vikas Institute of Technology-Bidadi, Ramnagar Taluk, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E064,"Jain College of Engineering and Research-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E065,"KLE Technological University  Formerly called as KLE Dr. M.S. Sheshgiri College of Engineering and
Technology-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,,,,,,,,,,,,,,,
E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengaluru",GM,,,,,,,,,,,,,,,
E069,"KVG College Of Engineering-Sullia, Dakshina Kannada",GM,,,,,,,,,,,,,,,
E070,"Kalpataru Institute of Technology-B H Road, Tiptur",GM,,,,,,,,,,,,,,,
E071,"Karavali Institute of Technology-Kottara, Mangaluru",GM,,,,,,,,,,,,,,,
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E074,"KLS Vishwanathrao Deshpande Institute of Technology-Dandeli Road, Haliyal",GM,,,,,,,,,,,,,,,
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E076,"M.S. Engineering College-Sadahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,27429,,,,,,2311,,,,,,33938,,
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,,,,,,,111029,,,,,,,,
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,,,,,,,,,,,,,,,
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E081,"Moodalakatte Institute of Technology-Moodalakatte, Udupi",GM,,,,,,,,,,,,,,,
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,,,,,,,,,,,,,,,
E083,"Mysuru Royal Institute of Technology-Palahallli, Mandya District",GM,,,,,,,,,,,,,,,
E084,"Nagarjuna College of Engineering And Technology-Devanahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",GM,,,,,,,,,,,,,,,
E088,"Navodaya Institute of Technology-Bijangera, Raichur",GM,,,,,,,,,,,,,,,
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,,,,,,,42248,,,,,,,,
E090,"PES Institute of Technology and Management-Kotegangoor Cost, Shivamogga",GM,,,,,,,107203,,,,,,,,
E094,"Proudhadevaraya Institute of Technology-TB Dam Road, Hosapete",GM,,,,,,,,,,,,,,,
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,12328,,,,,,,,,,,,,,
E096,"R.L. Jalappa Institute of Technology-Kodigehalli, Doddaballapur",GM,,,,,,,,,,,,,,,
E097,"R.R. Institute of Technology-Chikkabanavara, Bengaluru",GM,,,,,,,,,,,,,,,
E098,"R T E Societys Rural Engineering College-Hulkoti, Gadag",GM,,,,,,,,,,,,,,,
E099,"Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru",GM,,,,,,,92310,,,,,,,,
E100,"Rajeev Institute of Technology-BM Bypass Road, Hassan",GM,,,,,,,,,,,,,,,
E101,"Rajiv Gandhi Institute of Technology-R T Nagar Post, Bengaluru",GM,,,,,,,,,,,,,,,
E102,"Rao Bahadur Y Mahabaleswarappa Engineering College-Cantonment, Ballari",GM,,,,,,,,,,,,,,,
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,,,,,,,,,,,,,,,
E105,"Bheemanna Khandre Institute of Technology-Bhalki, Bidar",GM,,,,,,,,,,,,,,,
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,,,,,,,71438,,,,,,,,
E108,"S J C Institute of Technology-BB Road, Chikkaballapur",GM,,,,,,,,,,,,,,,
E109,"S.E.A. College of Engineering and Technology-K R Puram, Bengaluru",GM,,,,,,,,,,,,,,,
E110,"SSETs S.G. Balekundri Institute of Technology-Shivabasva Nagar, Belagavi",GM,,,,,,,,,,,,,,,
E111,"S.J.P.N Trust s Hirasugar Institute of Technology-Nidasoshi, Belagavi",GM,,,,,,,,,,,,,,,
E112,"Sahyadri College of Engineering and Management-Adyar, Mangaluru",GM,,,,,,,102448,,,,,,,,
E113,"Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru",GM,,,,,,,,,,,,,,,
E114,"Sambhram Institute of Technology-Jalahalli East, Bengaluru",GM,,,,,,,,,,,,,,,
E116,"Sapthagiri NPS University-Hesarghatta Main Road, Bengaluru",GM,,,,,,,,,,,,,,,
E117,"SDM College of Engineering and Technology, Tulu Minority-Kalaghatagi, Dharwad",GM,,,,,,,57018,,,,,,,,
E118,"SDM Institute of Technology, Tulu Minority-Ujjire, Dakshina Kannada",GM,,,,,,,,,,,,,,,
E119,"SECAB Institute of Engineering andTechnology-Nauraspur-Bagalkot Road, Vijayapura",GM,,,,,,,,,,,,,,,
E121,"Sri Sairam College of Engineering-Anekal, Bengaluru",GM,,,,,,,,,,,,,,,
E122,"Shree Devi Institute of Technology-Kenjar, Mangaluru",GM,,,,,,,,,,,,,,,
E123,"Shri Madhwa Vadiraja Institute of Technology and Management-Bantakal, Udupi",GM,,,,,,,,,,,,,,,
E124,"Shridevi Institute of Engineering and Technology-Sira Road, Tumakuru",GM,,,,,,,,,,,,,,,
E125,"Siddaganga Institute of Technology-B H Road, Tumakuru",GM,,,,,,,18090,,,,,,,,
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,,,,,,,30150,,,,,,,,
E127,"SJM Institute of Technology-NH 4 Bye-pass, Chitradurga",GM,,,,,,,,,,,,,,,
E128,"Smt. Kamala and Sri Venkappa M. Agadi College of Engineering and Technology-Laxmeswar,
Gadag",GM,,,,,,,,,,,,,,,
E132,"Sri Krishna Institute of Technology-Chikkabanavara, Bengaluru",GM,,,,,,,,,,,,,,,
E136,"Sri Taralabalu Jagadguru Institute of Technology-Haveri Dist., Ranebennur",GM,,,,,,,,,,,,,,,
E137,"Sri Venkateshwara College of Engineering-KIAL Road, Bengaluru",GM,,,,,,,,,,,,,,,
E138,"Srinivas Institute of Technology-Hampankatta, Mangaluru",GM,,,,,,,,,,,,,,,
E141,"T. John Institute of Technology-Bannerghatta Road, Bengaluru",GM,,,,,,,,,,,,,,,
E142,"The National Institute of Engineering South Campus-Mananthavady Road, Mysuru",GM,,,,,,,,,,,,,,,
E143,"Tontadarya College of Engineering-Mundaragi Road , Gadag",GM,,,,,,,,,,,,,,,
E144,"Veerappa Nisty Engineering College-Shorapur, Yadgir",GM,,,,,,,,,,,,,,,
E145,"Vemana Institute of Technology-Koramangala, Bengaluru",GM,,,,,,,,,,,,,,,
E146,"Vidya Vikas Institute of Engineering and Technology-Alnahally, Mysuru",GM,,,,,,,111279,,,,,,,,
E147,"Vidyavardhaka College of Engineering-Gokulam, Mysuru",GM,,,,,,,,,,,,,,,
E148,"Vivekananda College of Engineering and Technology-Puttur, Dakshin Kannada",GM,,,,,,,,,,,,,,,
E152,"ATME College of Engineering-Bannur Road, Mysuru",GM,,,,,,,,,,,,,,,
E156,"Jyothy Institute of Technology-Tathguni, Bengaluru",GM,,,,,,,,,,,,,,,
E158,"Shetty Institute of Technology - Gulbarga Shahabad Road, Kalaburagi",GM,,,,,,,,,,,,,,,
E159,"Lingaraj Appa Engineering-Gornalli, Bidar",GM,,,,,,,,,,,,,,,
E161,"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",GM,,,,,,,,,,,,,,,
E164,"Reva University-Yelahanka, Bengaluru",GM,,,,,,,44161,,,,,,,,
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,,,71584,,,,,,,,,,,,
E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,,,,,,,,,,,,,,,
E172,"Mysore College of Engineering and Management-Chikkahalli, Mysuru",GM,,,,,,,,,,,,,,,
E173,"Presidency University-Yelahanka, Bengaluru",GM,,,,,,,75506,,107866,,,,,,
E183,"Jain Institute of Technology-Avaragere Village, Davangere",GM,,,,,,,,,,,,,,,
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,,,98024,,,,,,,,,,,,
E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E194,"Jain College of Engineering and Technology-Unkal, Hubballi",GM,,,,,,,,,,,,,,,
E195,"Navkis College of Engineering -Kandali NH75, Hassan",GM,,,,,,,,,,,,,,,
E197,"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",GM,,,,,,,25525,,,,,,,,
E198,"R V Institute of Technology and Management-J P Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E199,"Biluru Gurubasava Mahaswamiji Institute of Technology-Mudhol, Bagalkot",GM,,,,,,,,,,,,,,,
E201,"G Madegowda Institute of Technology-Maddur, Mandya District",GM,,,,,,,,,,,,,,,
E202,"C Byregowda Insitute of Technology-Thoradevandahalli, Kolar",GM,,,,,,,,,,,,,,,
E203,"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk, Bengaluru
Rural",GM,,,,,,,,,,,,,,,
E204,"H.K.E. Societys Sir M. Visvesvaraya College of Engineering-Yermarus Camp, Raichur",GM,,,,,,,,,,,,,,,
E205,"Vijaya Vittala Institution of Technology-Kothanur, Bengaluru",GM,,,,,,,,,,,,,,,
E206,"Cauvery Institute Of Technology-Sundahalli, Mandya",GM,,,,,,,,,,,,,,,
E207,"BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru",GM,,,,,,,89272,,,,,,,,
E208,"A.G.M Rural College of Engineering and Technology-Varur, Hubballi",GM,,,,,,,,,,,,,,,
E209,"Aditya College of Engineering and Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E211,"East West College of Engineering-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E212,"Seshadripuram Institute of Technology - Jaipura Hobli, Mysuru",GM,,,,,,,,,,,,,,,
E214,"Sri Siddhartha School of Engineering-Near Kyathsandra Toll Gate, Tumkur",GM,,,,,,,,,,,,,,,
E215,"Cauvery College of Engineering-KBL Layout, Mysuru",GM,,,,,,,,,,,,,,,
E216,"New Ebenezer Institute of Technology - Kothanur, Bangalore",GM,,,,,,,,,,,,,,,
E217,"Harsha Institute of Technology-Nelamangala Taluk, Bangalore Rural",GM,,,,,,,,,,,,,,,
College Code,College Name,Seat Category,"ME-Mechanical Engineering",MR-Marine Engineering,,"MT-Mechatronics Engineering",,,RA-Robotics & Automation,,RI-Robotics & Artificial Intelligence,,ROB-Robotics,,"UE-Electronics & Computer Engineering",,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,107616,,,90218,,,,,70413,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,,,,,,,,,,,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,,,,,,,,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,,,,,,,,,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,,,,,,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,,,,,,,104693,,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,,,,,,,,,,,,,,,
E014,"Anuvartik Mirji Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,,,,,,,,,,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,108369,,,,,,,,,,,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,103984,,,,,,,,,,,,,,
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",GM,,,,,,,,,,,,,,,
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,53844,,,,,,,,17065,,,,,,
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,,,,,,,,,65090,,,,,,
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,,,,,,,,,,,,,,,
E023,"Basavakalyan Engineering College-NH9 Basavakalyan, Bidar",GM,,,,,,,,,,,,,,,
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,,,,,,,,,,,,,,,
E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road, Vijayapura",GM,,,,,,,,,,,,,,,
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,13510,,,,,,,,,,,,,,
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,43026,,,,,,,,,,,,,,
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,,,,,,,,,,,,,,,
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,82604,,,,,,,,,,,,,,
E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,,,,,,,,,,,,,,,
E036,"Chanakya University-Devanahalli, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E037,"City Engineering College-Doddakalasandra, Bengaluru",GM,,,,,,,,,,,,,,,
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,,,,,,,,,,,,,,,
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,57162,,,,,,,,,,,,,,
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,34913,,,,,,,,8006,,,,,,
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,,,,,,,,,,,,,,,
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E043,"Yenepoya Institute of Technology formerly known as Dr. M V Shetty Institute of Technology-
Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E044,"Dr.Shri Shri Shivakumara Mahaswamy College of Engineering-Nelamangala, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E045,"Dr H N National College Of Engineering-Jayanagar, Bengaluru",GM,,,,,,,,,,,,,,,
E046,"East Point College of Engineering and Technology-Avalahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,104180,,,,,,,,,,,,,,
E049,"Garden City University-Old Madras Road, Bengaluru",GM,,,,,,,,,,,,,,,
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,94278,,,,,,,,,,,,,,
E051,"GM Institute of Technology-P B Road, Davangere",GM,,,,,,,,,,,,,,,
E053,"Gopalan College of Engineering And Management-Whitefield, Bengaluru",GM,,,,,,,,,,,,,,,
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",GM,,,,,,,,,,,,,,,
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",GM,,,,,,,,,,,,,,,
E058,"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology
University-Manasagangothri, Mysuru",GM,,,,,,,,,,,,,,,
E059,"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",GM,,,,,,,,,100557,,,,,,
E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",GM,97000,,,,,,51021,,,,,,,,
E061,JSS Science and Technology University-Mysuru,GM,56635,,,,,,,,,,,,,,
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,,,,,,,,,,,,,,,
E063,"Jnana Vikas Institute of Technology-Bidadi, Ramnagar Taluk, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E064,"Jain College of Engineering and Research-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E065,"KLE Technological University  Formerly called as KLE Dr. M.S. Sheshgiri College of Engineering and
Technology-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,,,,,,,,,,,,,,,
E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengaluru",GM,,,,,,,,,,,,,,,
E069,"KVG College Of Engineering-Sullia, Dakshina Kannada",GM,,,,,,,,,,,,,,,
E070,"Kalpataru Institute of Technology-B H Road, Tiptur",GM,,,,,,,,,,,,,,,
E071,"Karavali Institute of Technology-Kottara, Mangaluru",GM,,,,,,,,,,,,,,,
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,88764,,,,,,,,,,,,,,
E074,"KLS Vishwanathrao Deshpande Institute of Technology-Dandeli Road, Haliyal",GM,,,,,,,,,,,,,,,
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E076,"M.S. Engineering College-Sadahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,12622,,,,,,,,,,,,,,
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,,,,,,,,,,,,,,,
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,,,,,,,,,,,,,,,
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E081,"Moodalakatte Institute of Technology-Moodalakatte, Udupi",GM,,,,,,,,,,,,,,,
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,,,,,,,,,,,,,,,
E083,"Mysuru Royal Institute of Technology-Palahallli, Mandya District",GM,,,,,,,,,,,,,,,
E084,"Nagarjuna College of Engineering And Technology-Devanahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",GM,,,,,,,,,,,,,,,
E088,"Navodaya Institute of Technology-Bijangera, Raichur",GM,,,,,,,,,,,,,,,
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,,,,,,,,,39412,,,,,,
